regiondescription,parentlocation,park,usetype,sitetype,campsitetype,campsiteid,campsitename,loop,campsiteaccessible,campsitelongitude,campsitelatitude,avgBookingWindow,avgLengthStay
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,427,B051,Loop B,FALSE,-112.989623,37.194449,124.019801980198,2.66336633663366
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,505,B008,Loop B,FALSE,-112.989353,37.195504,104.851851851852,1.88888888888889
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,467,A029,Loop A,FALSE,-112.987721,37.197557,107.723577235772,2.11382113821138
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,388,B033,Loop B,FALSE,-112.989144,37.195695,107.483333333333,2.25
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,435,D022,Loop D,FALSE,-112.985865,37.195751,89.4444444444445,1.86549707602339
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,498,D034,Loop D,FALSE,-112.985731,37.196715,92.8723404255319,1.88652482269504
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,357,B027,Loop B,FALSE,-112.989042,37.195197,125.958333333333,2.25
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,401,B031,Loop B,FALSE,-112.989143,37.195556,119.25641025641,2.13675213675214
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,530,F013,Loop F,FALSE,-112.985969,37.198105,76.986013986014,2.16083916083916
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,352,A022,Loop A,FALSE,-112.988459,37.197176,116.313559322034,2.33050847457627
